model,var_num,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,3,12350,0.5141958348825598,0.648810967188261,0.13981358189081228,0.07677725118483412,0.34241890820409027,0.22186234817813766,0.14275849892523262,0.045588865250103194,0.14275849892523262,0.06928709644826514,0.1676467798622594,0.022856014946502193
lgb,4,12350,0.5209457181487815,0.6485640280967018,0.18872785829307567,0.1059663671964985,0.3445269212631924,0.22186234817813766,0.15396932846969213,0.04572873598957106,0.15396932846969213,0.06942349416756277,0.16762221091265792,0.02315951131148843
lgb,5,12350,0.6436465664337614,0.8082575647354109,0.5498953244940684,0.44771624560816464,0.573030500226472,0.22186234817813766,0.3576396479492814,0.23724905110390326,0.3576396479492814,0.2561883191776082,0.13398077176962359,0.10074345472976486
lgb,6,12350,0.6478597596818749,0.8072219160864731,0.5636449037106623,0.4561816652649285,0.5809500557124853,0.22186234817813766,0.3729978281843698,0.24048723977453268,0.3729978281843698,0.25934610293573623,0.13341196878372827,0.10121266144596171
lgb,7,12350,0.6503374092340695,0.8082587556971902,0.5783188948723952,0.4611764705882353,0.5864246479981967,0.22186234817813766,0.38501480734792126,0.24466939676359867,0.38501480734792126,0.2634244160784499,0.13267735334750005,0.1023475448392006
lgb,8,12350,0.6538756785846407,0.8118438239885006,0.5950220981623634,0.4682632724836711,0.5947344543759752,0.22186234817813766,0.39971717109117677,0.250720208515567,0.39971717109117677,0.26932498488939016,0.13161449996195568,0.10515772159067763
lgb,9,12350,0.6582318458181662,0.8108413270297483,0.599169741697417,0.47679045092838196,0.5905054824326992,0.22186234817813766,0.4011079581216449,0.24865492633040231,0.4011079581216449,0.2673109840995608,0.1319772764376728,0.10412866596484349
lgb,10,12350,0.6603003121413203,0.8121271069382934,0.602543352601156,0.48087431693989074,0.5932801872890543,0.22186234817813766,0.4040935216547592,0.25119983620921815,0.4040935216547592,0.2697927033255324,0.13153025111421518,0.10524047320332243
lgb,11,12350,0.6559511149627987,0.8107021211693105,0.6071098799630655,0.47224523612261804,0.5896066609739234,0.22186234817813766,0.40776366898742467,0.24691338252327266,0.40776366898742467,0.2656126831950759,0.1322831867530746,0.1039886464831874
lgb,12,12350,0.6610196335320795,0.8128073999258245,0.6091533180778033,0.482090042720999,0.5890478969060642,0.22186234817813766,0.416379009541911,0.24841019068228332,0.416379009541911,0.2670723252895678,0.13202026539896083,0.10495950984089307
lgb,13,12350,0.6609819718063032,0.8161720036202116,0.6285714285714284,0.4821104699093158,0.5954506264745305,0.22186234817813766,0.43850048484899673,0.25597898130195684,0.43850048484899673,0.274453181230501,0.13069077192529924,0.10737654205591593
lgb,14,12350,0.6613002514608415,0.8187273194995899,0.6312937457665386,0.48275862068965514,0.599364289966479,0.22186234817813766,0.44368418741492033,0.25848831412832685,0.44368418741492033,0.27690020678979566,0.1302499958775074,0.10886200350667768
lgb,15,12350,0.6606788036995881,0.8158641204762879,0.6325791855203621,0.4814753828420879,0.5938529587072546,0.22186234817813766,0.4426805924252567,0.25434507421675256,0.4426805924252567,0.27285984440527333,0.13097777534704833,0.10695341582409292
lgb,16,12350,0.6620346843994237,0.8195234676870984,0.6497416310941362,0.4839659685863875,0.5975692871177779,0.22186234817813766,0.4577737047258785,0.25918117166526033,0.4577737047258785,0.2775758605269203,0.13012829221045974,0.10908020200050617
lgb,17,12350,0.6681947487254172,0.8210325626912519,0.6581826300513508,0.4959973860480314,0.6014529887719203,0.22186234817813766,0.46235326419916456,0.2633074420940308,0.46235326419916456,0.2815996747845011,0.12940349350994426,0.11026233432790965
lgb,18,12350,0.66544462273728,0.8234664590410281,0.6612975391498882,0.4908015768725361,0.6065775364117431,0.22186234817813766,0.4698408551149156,0.26808546362519536,0.4698408551149156,0.28625905702616816,0.12856421167987403,0.11189643672184471
