model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,12151,19,0.5616275277578048,0.72470222441203,0.4514697726012201,0.24975024975024976,0.4387180511371368,0.22121636079335033,0.33228551646128013,0.11698063454782015,0.33228551646128013,0.14089307291176734,0.1551064816661702,0.054482257843671486
lgb,12151,20,0.5885843033424166,0.7577235921406519,0.4949655537890832,0.3205348615090735,0.4899184791714591,0.22121636079335033,0.35302038262850843,0.1600566277447002,0.35302038262850843,0.18280255484900054,0.14753998198286764,0.07224613338337027
lgb,12151,21,0.5851294989362174,0.7523327817423139,0.5137420718816067,0.31174322506246394,0.4764472116801548,0.22121636079335033,0.36858683050580143,0.15077210038887812,0.36858683050580143,0.17376945537440136,0.14917085263920643,0.06885708469849693
lgb,12151,22,0.6642091658449031,0.8168444089264499,0.6518450607380242,0.4881632653061224,0.5902054163460042,0.22121636079335033,0.470018679729593,0.2535433893035953,0.470018679729593,0.2737576659015929,0.13111859505174525,0.1070898480819732
lgb,12151,23,0.6702246161725425,0.827368830788697,0.6877665544332211,0.49943502824858754,0.6050826456052858,0.22121636079335033,0.49109465261562,0.26925330485328147,0.49109465261562,0.2890421520643569,0.128359074905846,0.11350546665165331
lgb,12151,24,0.6697773026425998,0.8247489101137802,0.6733735747820254,0.49839228295819943,0.5984916277845851,0.22121636079335033,0.48067726160789326,0.2651649424307596,0.48067726160789326,0.28506450376460857,0.12907721488775775,0.11166939078701926
lgb,12151,25,0.6710578598908828,0.8239643493986658,0.6842458100558659,0.5008846710632138,0.6011215008333677,0.22121636079335033,0.4917686695241782,0.2671128217660249,0.4917686695241782,0.2869596339231658,0.12873506077175087,0.11167960161137673
lgb,12151,26,0.6709746292340741,0.8236143237793209,0.6909660107334527,0.50080567193039,0.600208609342817,0.22121636079335033,0.4946652715916534,0.2644356751575171,0.4946652715916534,0.28435498527537295,0.12920531409528646,0.1112943248828404
lgb,12350,2,0.5502929297402055,0.6954177823635663,0.2819843342036553,0.21947762705001012,0.3938723171625408,0.22186234817813766,0.15642237469028863,0.08308067178697509,0.15642237469028863,0.1058479734653548,0.1610611686845645,0.041890751728662835
lgb,12350,3,0.5539534971987408,0.7119130520586184,0.3198159332758125,0.2246913580246913,0.4150171252330433,0.22186234817813766,0.22050680696273772,0.1010638343050837,0.22050680696273772,0.1233846102384134,0.15790234207606035,0.04924302060366825
lgb,12350,4,0.5133165536580606,0.6492420758284193,0.13783962889330684,0.07714016933207901,0.3420109297088385,0.22186234817813766,0.13489325109161066,0.04575781975626558,0.13489325109161066,0.0694518557781526,0.16761710221300524,0.02311371574470811
