,HHID,PN,value
658,13656,10,-1.0
659,13656,40,-1.0
660,13671,10,-1.0
661,13671,20,-1.0
662,13678,10,-1.0
663,13678,40,-1.0
664,13699,10,-1.0
665,13706,10,-1.0
666,13734,10,-1.0
667,13734,20,-1.0
668,13738,10,-1.0
669,13738,20,-1.0
670,13753,10,-1.0
671,13753,20,-1.0
672,13757,20,-1.0
673,13757,30,-1.0
674,13772,20,-1.0
675,13772,30,-1.0
676,13784,10,-1.0
677,13784,40,-1.0
678,13794,20,-1.0
679,13794,30,-1.0
680,13798,10,-1.0
681,13798,20,-1.0
682,13802,10,-1.0
683,13802,20,-1.0
684,13808,10,-1.0
685,13813,10,-1.0
686,13813,20,-1.0
687,13814,10,-1.0
688,13814,40,-1.0
689,13815,10,1.0
690,13816,10,-1.0
691,13816,40,-1.0
692,13817,10,-1.0
693,13817,40,-1.0
694,13820,10,-1.0
695,13820,20,-1.0
696,13857,10,-1.0
697,13857,20,-1.0
698,13858,30,-1.0
699,13860,10,-1.0
700,13860,40,-1.0
701,13891,10,-1.0
702,13894,10,-1.0
703,13894,40,-1.0
704,13897,10,-1.0
705,13899,10,-1.0
706,13899,40,-1.0
707,13902,10,-1.0
708,13902,20,-1.0
709,13912,10,-1.0
710,13912,20,-1.0
711,13915,10,-1.0
712,13916,10,-1.0
713,13916,40,-1.0
714,13965,10,-1.0
715,13965,20,-1.0
716,13974,10,-1.0
717,14008,10,-1.0
718,14024,20,-1.0
719,14024,30,-1.0
720,14028,10,-1.0
721,14028,20,-1.0
722,14033,10,-1.0
723,14036,10,-1.0
724,14036,40,-1.0
725,14038,10,-1.0
726,14043,10,-1.0
727,14043,20,-1.0
728,14063,10,-1.0
729,14063,20,-1.0
730,14069,10,-1.0
731,14069,20,-1.0
732,14072,10,-1.0
733,14072,40,-1.0
734,14080,20,-1.0
735,14080,30,-1.0
736,14081,10,-1.0
737,14081,40,-1.0
738,14085,10,1.0
739,14092,10,-1.0
740,14092,40,-1.0
741,14098,10,-1.0
742,14098,20,-1.0
743,14104,10,-1.0
744,14104,20,-1.0
745,14115,20,-1.0
746,14115,30,-1.0
747,14121,10,-1.0
748,14129,10,-1.0
749,14129,20,-1.0
750,14136,10,-1.0
751,14136,40,-1.0
752,14137,10,-1.0
753,14137,20,-1.0
754,14147,10,-1.0
755,14147,40,-1.0
756,14149,20,-1.0
757,14149,30,-1.0
758,14157,10,-1.0
759,14157,40,-1.0
760,14159,20,-1.0
761,14159,30,-1.0
762,14167,10,-1.0
763,14167,40,-1.0
764,14179,10,-1.0
765,14179,40,-1.0
766,14180,10,-1.0
767,14180,20,-1.0
768,14186,20,-1.0
769,14186,30,-1.0
770,14188,20,-1.0
771,14188,30,-1.0
772,14193,40,-1.0
773,14199,10,-1.0
774,14199,20,-1.0
775,14201,10,-1.0
776,14202,10,-1.0
777,14212,10,-1.0
778,14212,20,-1.0
779,14214,10,1.0
780,14215,20,-1.0
781,14215,30,-1.0
782,14223,10,-1.0
783,14224,10,-1.0
784,14224,20,-1.0
785,14226,10,-1.0
786,14230,10,-1.0
787,14230,20,-1.0
788,14234,10,-1.0
789,14234,40,-1.0
790,14242,10,-1.0
791,14244,20,-1.0
792,14244,30,-1.0
793,14247,10,-1.0
794,14247,40,-1.0
795,14251,10,-1.0
796,14252,10,-1.0
797,14253,10,-1.0
798,14259,20,-1.0
799,14259,30,-1.0
800,14270,10,-1.0
801,14270,40,-1.0
802,14272,10,-1.0
803,14275,10,-1.0
804,14275,20,-1.0
805,14283,10,-1.0
806,14307,10,-1.0
807,14308,10,-1.0
808,14320,20,-1.0
809,14320,30,-1.0
810,14332,10,-1.0
811,14341,10,-1.0
812,14349,10,-1.0
813,14349,40,-1.0
814,14359,10,-1.0
815,14359,20,-1.0
816,14397,10,-1.0
817,14397,20,-1.0
818,14411,10,-1.0
819,14411,20,-1.0
820,14420,10,-1.0
821,14420,20,-1.0
822,14427,10,-1.0
823,14427,40,-1.0
824,14428,10,-1.0
825,14428,40,-1.0
826,14430,10,-1.0
827,14430,20,-1.0
828,14433,10,-1.0
829,14433,20,-1.0
830,14434,20,-1.0
831,14434,30,-1.0
832,14436,10,-1.0
833,14436,20,-1.0
834,14449,10,-1.0
