,HHID,PN,value
783,15982,20,1
784,15983,10,-1
785,15986,10,1
786,15986,40,1
787,15991,40,1
788,15992,20,1
789,15992,30,-1
790,15995,10,1
791,15995,20,1
792,16013,10,-1
793,16015,10,1
794,16022,10,-1
795,16022,40,1
796,16024,10,-1
797,16024,20,1
798,16035,10,1
799,16035,40,1
800,16036,10,1
801,16036,40,1
802,16042,10,1
803,16042,11,1
804,16048,10,1
805,16048,20,1
806,16054,20,1
807,16062,10,-1
808,16062,40,-1
809,16064,10,1
810,16064,40,1
811,16086,10,-1
812,16086,20,1
813,16107,10,1
814,16116,10,1
815,16116,20,1
816,16119,20,1
817,16142,10,1
818,16161,20,1
819,16162,10,-1
820,16162,40,-1
821,16174,10,-1
822,16174,40,1
823,16190,10,1
824,16197,10,1
825,16197,20,1
826,16211,10,-1
827,16220,10,1
828,16221,10,1
829,16233,10,1
830,16233,20,-1
831,16237,30,1
832,16245,10,-1
833,16245,40,1
834,16246,20,1
835,16246,30,1
836,16247,30,1
837,16250,10,-1
838,16250,20,-1
839,16306,10,-1
840,16331,10,1
841,16331,11,-1
842,16367,11,-1
843,16376,20,1
844,16381,10,1
845,16381,40,1
846,16400,10,1
847,16404,10,-1
848,16404,20,1
849,16407,10,1
850,16407,11,1
851,16412,10,-1
852,16412,20,1
853,16415,10,1
854,16415,40,-1
855,16420,10,1
856,16420,20,1
857,16430,10,1
858,16433,10,1
859,16433,20,1
860,16437,10,1
861,16437,20,1
862,16439,20,1
863,16439,30,1
864,16444,10,1
865,16444,40,1
866,16449,20,1
867,16449,30,1
868,16454,20,1
869,16459,10,1
870,16460,10,1
871,16468,10,1
872,16468,40,1
873,16471,10,1
874,16475,10,1
875,16478,10,1
876,16484,20,1
877,16484,30,1
878,16491,10,-1
879,16496,10,1
880,16500,10,1
881,16500,20,1
882,16517,10,1
883,16526,10,-1
884,16526,20,1
885,16528,30,1
886,16528,40,1
887,16541,10,1
888,16541,11,1
889,16558,10,1
890,16558,20,1
891,16566,10,-1
892,16566,20,-1
893,16570,10,1
894,16599,10,1
895,16602,10,1
896,16602,20,1
897,16606,10,1
898,16612,10,1
899,16619,20,1
900,16631,10,1
901,16631,20,1
902,16648,10,-1
903,16648,20,-1
904,16650,20,1
905,16650,30,-1
906,16659,10,1
907,16659,40,1
908,16660,10,1
909,16663,10,1
910,16672,10,1
911,16672,20,1
912,16681,10,1
913,16698,10,1
914,16700,20,1
915,16704,20,1
916,16705,10,-1
917,16705,20,-1
918,16706,10,1
919,16706,20,1
920,16710,10,1
921,16711,10,-1
922,16715,30,1
923,16715,40,1
924,16747,10,-1
925,16747,20,1
926,16761,10,-1
927,16770,10,1
928,16789,10,1
929,16789,20,1
930,16799,10,-1
931,16799,40,1
932,16810,10,1
933,16810,11,-1
934,16822,10,1
935,16822,20,1
936,16827,10,1
937,16827,40,1
938,16841,10,1
939,16848,10,1
940,16848,40,-1
941,16851,10,1
942,16855,20,1
943,16855,30,1
944,16856,10,-1
945,16856,40,1
946,16870,10,1
947,16870,11,-1
948,16873,20,1
949,16873,30,1
950,16904,10,-1
951,16904,11,-1
952,16925,10,1
953,16925,40,-1
954,16931,20,1
955,16931,30,1
956,16933,30,1
957,16935,10,-1
958,16935,11,-1
959,16954,10,-1
960,16956,10,1
961,16973,20,1
962,16973,30,-1
963,16973,32,-1
964,16973,31,1
965,16975,10,1
966,16975,40,1
967,16989,10,1
968,16989,20,1
969,16994,40,1
970,16996,10,1
971,16996,20,1
972,17003,10,1
973,17003,40,-1
974,17027,40,1
975,17028,10,1
976,17031,10,1
977,17031,20,1
978,17038,30,1
979,17041,10,-1
980,17042,10,1
981,17042,20,1
982,17049,10,1
983,17049,20,1
984,17050,20,1
985,17050,30,1
986,17061,10,1
987,17075,10,-1
988,17075,20,1
989,17077,40,1
990,17093,40,1
991,17107,10,1
992,17134,11,-1
993,17136,10,1
994,17136,20,1
995,17175,10,-1
996,17184,10,1
997,17199,10,1
998,17201,20,1
999,17202,10,1
1000,17209,10,1
1001,17209,11,1
1002,17234,10,-1
1003,17234,40,-1
1004,17237,10,-1
1005,17237,20,-1
1006,17239,10,1
1007,17239,20,1
1008,17241,10,1
1009,17241,11,1
1010,17253,10,1
1011,17253,20,1
1012,17277,10,1
1013,17277,40,1
1014,17279,10,1
1015,17279,40,1
1016,17282,20,-1
1017,17282,30,1
1018,17303,10,1
1019,17319,10,1
1020,17328,40,1
1021,17356,10,-1
1022,17356,20,-1
1023,17363,10,-1
1024,17366,10,1
1025,17366,20,1
1026,17371,10,1
1027,17383,10,1
1028,17383,11,1
1029,17388,10,1
1030,17389,10,1
1031,17392,10,1
1032,17392,40,1
1033,17425,10,-1
1034,17425,40,1
1035,17428,10,1
1036,17458,10,1
1037,17459,10,1
1038,17468,10,-1
1039,17473,10,1
1040,17480,10,1
1041,17491,10,1
1042,17491,20,1
1043,17492,10,1
1044,17492,40,1
1045,17506,20,1
1046,17520,10,1
1047,17520,11,1
1048,17521,10,1
1049,17521,20,-1
1050,17526,10,1
1051,17527,10,1
1052,17527,20,1
1053,17547,10,1
1054,17547,20,-1
1055,17588,10,1
1056,17602,10,1
1057,17623,10,1
1058,17623,20,1
1059,17626,10,1
1060,17626,11,1
1061,17635,10,1
1062,17635,20,1
1063,17640,10,1
1064,17641,10,1
1065,17642,10,1
1066,17646,41,1
1067,17653,10,1
1068,17653,40,1
1069,17661,30,1
1070,17674,30,-1
1071,17681,20,1
1072,17707,40,1
1073,17707,41,1
1074,17714,20,-1
1075,17715,10,1
1076,17715,20,-1
