,HHID,PN,HB027,JB027,KB027,LB027
759,15419,10,,,,
760,15429,10,,,,
761,15436,10,,,,
762,15436,20,,,,
763,15440,10,,,,
764,15440,40,,,,
765,15445,10,,,,
766,15445,40,,,,
767,15447,10,,,,
768,15447,20,,,,
769,15469,10,-0.719006929,,,
770,15497,10,,,,
771,15497,40,,,,
772,15511,10,,,,
773,15511,40,,,,
774,15514,20,,,,
775,15514,30,,,,
776,15516,10,,,,
777,15516,20,,,,
778,15536,10,,,,
779,15536,11,-0.719006929,,,
780,15537,10,,,,
781,15537,11,,,,
782,15543,10,,,,
783,15543,20,,,,
784,15551,10,,,,
785,15560,10,,,,
786,15560,40,,,,
787,15570,40,,,,
788,15581,10,-0.719006929,,,
789,15588,40,,,,
790,15591,10,,,,
791,15591,20,,,,
792,15593,20,,,,
793,15593,30,,,,
794,15604,10,,,,
795,15618,10,,,,
796,15625,10,,,,
797,15625,20,,,,
798,15636,10,,,,
799,15648,20,,,,
800,15648,30,,,,
801,15657,10,,,,
802,15658,10,,,,
803,15659,10,,,,
804,15676,10,,,,
805,15676,40,,,,
806,15698,10,,,,
807,15698,40,,,,
808,15709,20,,,,
809,15709,30,,,,
810,15726,10,,,,
811,15726,40,,,,
812,15730,30,,,,
813,15730,31,,,,
814,15734,40,,,,
815,15739,10,,,,
816,15739,40,,,,
817,15752,10,,,,
818,15752,20,,,,
819,15758,10,,,,
820,15776,10,,,,
821,15776,20,,,,
822,15779,10,,,,
823,15779,40,,,,
824,15781,10,,,,
825,15784,10,,,,
826,15784,20,,,,
827,15793,10,,,,
828,15793,20,,,,
829,15801,40,,,,
830,15833,10,,,,
831,15833,20,,,,
832,15834,10,,,,
833,15834,11,,,,
834,15836,10,,,,
835,15836,20,,,,
836,15840,20,,,,
837,15840,30,,,,
838,15883,10,,,,
839,15883,11,,,,
840,15889,10,,,,
841,15889,20,,,,
842,15893,10,,,,
843,15893,20,,,,
844,15897,20,,,,
845,15911,10,,,,
846,15911,20,,,,
847,15911,22,,,,
848,15911,21,,,,
849,15935,10,,,,
850,15957,10,,,,
851,15960,10,,,,
852,15972,10,,,,
853,15981,10,,,,
854,15981,40,,,,
855,15982,10,,,,
856,15982,20,,,,
857,15983,10,,,,
858,15983,20,,,,
859,15986,10,,,,
860,15986,40,,,,
861,15987,10,,,,
862,15992,20,,,,
863,15992,30,,,,
864,15995,10,,,,
865,15995,20,,,,
866,16015,10,,,,
867,16022,10,,,,
868,16022,40,,,,
869,16024,10,,,,
870,16024,20,,,,
871,16035,10,,,,
872,16035,40,,,,
873,16036,10,,,,
874,16036,40,,,,
875,16042,10,,,,
876,16048,10,,,,
877,16048,20,,,,
