,HHID,E4588_y,F5348,G5735,HQ400,JQ400,KQ400,LQ400
291,010451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
292,010453,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0
293,010458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
294,010460,-1.0,-1.0,-1.0,,,,
295,010465,-1.0,-1.0,-1.0,,,-1.0,
296,010468,-1.0,,,,,,
297,010475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
298,010477,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0
299,010481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
300,010482,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
301,010533,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
302,010533,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
303,010533,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
304,010533,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
305,010537,,-1.0,-1.0,,,-1.0,-1.0
306,010565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
307,010567,-1.0,-1.0,,,,,
308,010568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
309,010571,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
310,010577,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
311,010577,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
312,010577,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
313,010577,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
314,010592,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
315,010600,1.0,1.0,-1.0,-1.0,-1.0,1.0,
316,010602,-1.0,-1.0,-1.0,-1.0,-1.0,,
317,010611,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
318,010644,-1.0,,,,,,
319,010645,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0
320,010646,-1.0,-1.0,,,,,
321,010646,-1.0,-1.0,1.0,,,,
322,010648,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
323,010652,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0
324,010671,-1.0,-1.0,-1.0,,,,
325,010672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
326,010672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
327,010672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
328,010672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
329,010677,1.0,1.0,1.0,-1.0,1.0,,
330,010689,-1.0,-1.0,,,,,
331,010696,-1.0,-1.0,,,,,-1.0
332,010707,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
333,010719,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
334,010719,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
335,010740,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,
336,010751,,,,,,,
337,010756,-1.0,,,,-1.0,-1.0,1.0
338,010766,1.0,-1.0,-1.0,-1.0,,,
339,010769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
340,010773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
341,010776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
342,010818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
343,010822,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
344,010893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
345,010896,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
346,010902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
347,010917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
348,010923,-1.0,-1.0,-1.0,-1.0,-1.0,,
349,010923,-1.0,-1.0,-1.0,-1.0,-1.0,,
350,010923,-1.0,-1.0,-1.0,-1.0,-1.0,,
351,010923,-1.0,-1.0,-1.0,-1.0,-1.0,,
352,010941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
353,010956,-1.0,-1.0,,,,,
354,010962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
355,010989,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
356,010994,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
357,011010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
358,011067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
359,011071,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
360,011074,-1.0,,,-1.0,-1.0,-1.0,-1.0
361,011141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
362,011147,-1.0,,,,,,
363,011186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
364,011212,1.0,-1.0,1.0,1.0,,-1.0,-1.0
365,011218,-1.0,-1.0,,,,,
366,011219,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
367,011230,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
368,011241,1.0,,-1.0,-1.0,-1.0,,
369,011248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
370,011253,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
371,011256,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
372,011277,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
373,011323,-1.0,,-1.0,-1.0,-1.0,-1.0,
374,011332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
375,011333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
376,011341,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
377,011347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
378,011368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
379,011377,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
380,011378,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
381,011379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
382,011380,,,,,,,
383,011387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
384,011423,1.0,1.0,1.0,1.0,1.0,1.0,1.0
385,011466,1.0,-1.0,,-1.0,-1.0,-1.0,1.0
386,011467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
387,011477,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0
388,011477,-1.0,-1.0,,-1.0,-1.0,,-1.0
389,011477,-1.0,-1.0,,-1.0,,-1.0,-1.0
390,011477,-1.0,-1.0,,-1.0,,,-1.0
391,011478,-1.0,,,-1.0,,,
392,011479,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
