,HHID,PN,V47_x,V47_y,W103,E374,F686,G757,HX060_R,JX060_R,KX060_R,LX060_R
216,011522,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
217,011524,010,-1.0,-1.0,-1.0,,,,,,,
218,011524,020,1.0,1.0,1.0,,,,,,,
219,011542,010,1.0,1.0,1.0,1.0,1.0,,,,,
220,011542,040,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,
221,011549,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
222,011549,030,1.0,1.0,1.0,1.0,,,,,,
223,011554,030,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,,
224,011563,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
225,011570,010,1.0,1.0,1.0,1.0,,,,,,
226,011575,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,
227,011575,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
228,011582,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
229,011582,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
230,011590,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
231,011590,030,1.0,1.0,1.0,,,1.0,,,,
232,011591,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
233,011591,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
234,011603,010,-1.0,-1.0,-1.0,,,,,,,
235,011603,020,1.0,1.0,1.0,,,,,,,
236,011608,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
237,011608,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,011611,010,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
239,011611,040,-1.0,-1.0,-1.0,-1.0,,,,,,
240,011612,010,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
241,011612,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
242,011620,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
243,011620,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
244,011626,010,1.0,1.0,1.0,,,,,1.0,1.0,1.0
245,011656,010,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0
246,011667,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
247,011667,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
248,011671,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
249,011671,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
250,011678,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
251,011678,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
252,011690,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253,011694,010,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
254,011716,010,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
255,011765,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,011787,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0
257,011787,040,1.0,1.0,1.0,1.0,1.0,,,,,
258,011793,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
259,011793,040,1.0,1.0,1.0,1.0,1.0,,,,,
260,011798,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
261,011802,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
262,011802,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
263,011810,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
264,011810,020,-1.0,-1.0,-1.0,,,-1.0,,,,
265,011818,010,1.0,1.0,1.0,,,,,,,
266,011825,010,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0
267,011826,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
268,011828,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
269,011830,010,1.0,1.0,1.0,1.0,,,,,,
270,011830,040,-1.0,-1.0,-1.0,-1.0,,,,,,
271,011835,010,1.0,1.0,1.0,1.0,1.0,,,,,
272,011835,020,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
273,011841,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
274,011841,040,-1.0,-1.0,-1.0,,,,,,,
275,011854,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
276,011854,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
277,011856,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
278,011859,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
279,011862,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
280,011862,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
281,011863,010,-1.0,-1.0,-1.0,-1.0,,,,,,
282,011876,010,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0
283,011876,040,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,
284,011878,010,1.0,1.0,1.0,,,,,,,
285,011878,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0
286,011881,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
287,011893,010,1.0,1.0,1.0,,,,,,,
288,011902,020,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
289,011902,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290,011907,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
291,011907,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
292,011911,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
293,011911,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
294,011927,010,-1.0,-1.0,-1.0,,,,,,,
295,011929,020,-1.0,-1.0,-1.0,,,,,,,
296,011930,010,1.0,1.0,1.0,1.0,,,,,,
297,011930,040,-1.0,-1.0,-1.0,-1.0,,,,,,
