,model,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
33,lgb,4063,0.6858430286133299,0.7896594790232961,0.9519469759734881,0.5586497890295359,0.6486685153687203,0.3076544425301501,0.8021255284523603,0.2239684652701488,0.8021255284523603,0.4134255964363458,0.16581065033033957,0.14811051743248044
34,lgb,4106,0.6804111230055564,0.7803798510710882,0.956344349245206,0.5499153976311337,0.6349838786226922,0.3075986361422309,0.8016795996726265,0.20429726323729258,0.8016795996726265,0.40520877429804536,0.17001369447980552,0.13466497373542494
35,lgb,4150,0.6803341685586677,0.7813660443649739,0.9395918367346939,0.549618320610687,0.6358248997281777,0.3074698795180723,0.790422005501507,0.20770687825926082,0.790422005501507,0.4143794603822809,0.16928517964649342,0.13713272753590902
36,lgb,4194,0.6868904913712988,0.7855970684767137,0.9472843450479234,0.5609348914858097,0.6402064212650536,0.30686695278969955,0.7939675251679027,0.2129844722175106,0.7939675251679027,0.4238416342395265,0.1681575434007557,0.14138888314464693
37,lgb,4237,0.6820678493143701,0.7872488932284009,0.9486260454002389,0.5522514868309261,0.6412393607289878,0.30658484776964834,0.7955050264626697,0.21640816334211987,0.7955050264626697,0.4323802612919233,0.16742602099928613,0.14238119065241678
38,lgb,4281,0.6867601099517294,0.7861940781347417,0.9426197071626434,0.559796437659033,0.6436657969191889,0.306003270263957,0.7854056424377055,0.21494008135914489,0.7854056424377055,0.43684631793280226,0.16773969849490503,0.1448634648677231
39,lgb,4325,0.691097497853118,0.7845922492657468,0.942528735632184,0.5673640167364016,0.6424941695897562,0.30520231213872834,0.7844049889882901,0.21495805578511762,0.7844049889882901,0.4418751295476131,0.16773585799213359,0.1425994138482805
40,lgb,4369,0.6934169146854573,0.7881213703969476,0.9415915327322618,0.5707070707070706,0.6479941237010466,0.3057907988097963,0.7825825841993277,0.22394177384721792,0.7825825841993277,0.45617003445333304,0.16581635334883346,0.14859765711510284
41,lgb,4412,0.6852572925366931,0.7929807741323264,0.9400311526479751,0.5579831932773109,0.6558948279502707,0.3046237533998187,0.7807502936629573,0.22841886939657075,0.7807502936629573,0.46322493907796425,0.16485975546407394,0.1536469855776984
42,lgb,4456,0.6887481815223061,0.7910515212472699,0.9378316906747536,0.5626598465473146,0.6544005029859841,0.30543087971274685,0.7763757266894911,0.23073909465672415,0.7763757266894911,0.4731041433536022,0.16436400491518313,0.15237132154343824
43,lgb,4500,0.6929081330557092,0.793073903717733,0.9395313681027966,0.5702341137123745,0.6560172674943165,0.30577777777777776,0.7790926400237661,0.23380107522059435,0.7790926400237661,0.48242133286315525,0.1637097673412282,0.15132488978261502
44,lgb,4543,0.6915827520086582,0.7936267993616213,0.9397321428571429,0.5683333333333334,0.6548704517295287,0.3059652212194585,0.7759729278779122,0.2316755525976233,0.7759729278779122,0.48770133892592493,0.16416391678314407,0.1539374326838456
45,lgb,4587,0.6944879049176342,0.8017604432576141,0.9283047050037342,0.5723905723905723,0.6645120661327747,0.30608240680183124,0.7705363244783083,0.24717866351113593,0.7705363244783083,0.5045759281457933,0.16085144713768335,0.16373826514054318
46,lgb,4631,0.6918606702977401,0.7970147556475741,0.930421909696521,0.5680473372781064,0.6556564250963752,0.3061973655797884,0.767198564164973,0.2352478894915112,0.767198564164973,0.503318762768016,0.16340063400781094,0.15835035430332997
47,lgb,4674,0.6983635661376906,0.7928101999443182,0.9304538799414348,0.5784148397976391,0.6549364156309332,0.3057338468121523,0.7662148417996371,0.23306686249333985,0.7662148417996371,0.5070634029383636,0.16386664278293206,0.15403019714675234
48,lgb,4718,0.6923694519274884,0.7936571890158067,0.9296591733139956,0.5685106382978724,0.6498946527044243,0.30542602797795676,0.7630996749989298,0.23121942188863642,0.7630996749989298,0.5114829810073,0.16426137587611647,0.15382437312735747
49,lgb,4762,0.6879080546307952,0.7908172268166151,0.9322879543834639,0.5617597292724196,0.6488280381598109,0.30722385552288956,0.7622301013742265,0.22629893942427526,0.7622301013742265,0.5185954872287724,0.16531270995320235,0.1506224797467779
50,lgb,4805,0.6911979797742146,0.7942836080165948,0.9255319148936171,0.5670886075949366,0.6484960117716704,0.3073881373569199,0.7589503133188934,0.2336236201762868,0.7589503133188934,0.5295328037286895,0.16374768324410613,0.15547747680123436
51,lgb,4849,0.690635771171786,0.7909397657447818,0.923076923076923,0.5658453695836873,0.6398969224827548,0.30748607960404206,0.7550411134072971,0.22222876368225497,0.7550411134072971,0.5289510453082241,0.16618236338420384,0.14813983827148344
52,lgb,4893,0.6904818622780085,0.7960089561251819,0.9212292476156835,0.56532877882152,0.6519846683291168,0.30656039239730226,0.7558186561802649,0.23497882014146043,0.7558186561802649,0.5406955226802947,0.16345812466626905,0.15791775184608373
53,lgb,4936,0.6910205434062293,0.7902888389583603,0.9257852951328961,0.5671140939597316,0.6482462558790281,0.30672609400324147,0.7567772914787593,0.22894845692354215,0.7567772914787593,0.5433289464796454,0.16474660123215923,0.15216245680831678
54,lgb,4980,0.6967303673030848,0.8007732696523031,0.9207443142660233,0.5755517826825127,0.6526629735602649,0.3066265060240964,0.7503293184396125,0.24616727632528435,0.7503293184396125,0.5591473296525518,0.16106754501453086,0.16396370787386827
55,lgb,5024,0.6890559993098607,0.7982470071092184,0.916637841577309,0.5637130801687764,0.6561208593614742,0.30553343949044587,0.747272424681808,0.24041022240955712,0.747272424681808,0.5592373120718733,0.16229762499328565,0.16237810441009143
