,HHID,PN,F995_x,F995_y,G1082,HB022,JB022,KB022,LB022
369,012562,011,-1.0,-1.0,,,,,
370,012571,020,1.0,1.0,,,,,
371,012573,010,-1.0,-1.0,,,,,
372,012574,010,-1.0,-1.0,,,,,
373,012574,020,,,,,,,
374,012586,010,-1.0,-1.0,,,,,
375,012586,020,-1.0,-1.0,,,,,
376,012588,010,-1.0,-1.0,,,,,
377,012588,020,-1.0,-1.0,,,,,
378,012596,010,1.0,1.0,,,,,
379,012605,010,1.0,1.0,,,,,
380,012605,040,-1.0,-1.0,,,,,
381,012611,010,-1.0,-1.0,,,,,
382,012611,020,-1.0,-1.0,,,,,
383,012629,010,-1.0,-1.0,,,,,
384,012629,011,-1.0,-1.0,,,,,
385,012629,040,1.0,1.0,,,,,
386,012648,010,-1.0,-1.0,,,,,
387,012648,040,-1.0,-1.0,,,,,
388,012651,010,-1.0,-1.0,,,,,
389,012666,010,-1.0,-1.0,,,,,
390,012667,010,1.0,1.0,,,,,
391,012671,010,-1.0,-1.0,,,,,
392,012682,010,-1.0,-1.0,,,,,
393,012690,010,-1.0,-1.0,,,,,
394,012695,020,-1.0,-1.0,,,,,
395,012695,030,,,,,,,
396,012709,010,-1.0,-1.0,,,,,
397,012709,020,-1.0,-1.0,,,,,
398,012715,020,-1.0,-1.0,,,,,
399,012715,030,-1.0,-1.0,,,,,
400,012736,010,-1.0,-1.0,,,,,
401,012738,010,1.0,1.0,,,,,
402,012738,020,-1.0,-1.0,,,,,
403,012743,010,-1.0,-1.0,,,,,
404,012744,010,-1.0,-1.0,,,,,
405,012744,020,-1.0,-1.0,,,,,
406,012745,010,-1.0,-1.0,,,,,
407,012745,020,-1.0,-1.0,,,,,
408,012756,010,-1.0,-1.0,,,,,
409,012756,011,-1.0,-1.0,,,,,
410,012761,010,-1.0,-1.0,,,,,
411,012761,040,-1.0,-1.0,,,,,
412,012762,010,-1.0,-1.0,,,,,
413,012762,020,1.0,1.0,,,,,
414,012765,010,-1.0,-1.0,,,,,
415,012786,010,1.0,1.0,,,,,
416,012792,010,-1.0,-1.0,,,,,
417,012799,020,1.0,1.0,,,,,
418,012799,030,-1.0,-1.0,,,,,
419,012821,010,-1.0,-1.0,,,,,
420,012830,010,-1.0,-1.0,,,,,
421,012852,020,-1.0,-1.0,,,,,
422,012852,030,-1.0,-1.0,,,,,
423,012854,010,1.0,1.0,,,,,
424,012864,020,-1.0,-1.0,,,,,
425,012887,010,1.0,1.0,,,,,
426,012887,011,-1.0,-1.0,,,,,
427,012909,020,-1.0,-1.0,,,,,
428,012920,010,-1.0,-1.0,,,,,
429,012922,040,-1.0,-1.0,,,,,
430,012948,010,-1.0,-1.0,,,,,
431,012964,010,-1.0,-1.0,,,,,
432,012964,040,1.0,1.0,,,,,
433,012967,010,-1.0,-1.0,,,,,
434,012971,030,-1.0,-1.0,,,,,
435,012974,010,-1.0,-1.0,,,,,
436,012974,020,-1.0,-1.0,,,,,
437,012979,010,-1.0,-1.0,,,,,
438,012979,020,-1.0,-1.0,,,,,
439,012981,020,,,,,,,
440,012981,030,1.0,1.0,,,,,
441,012985,010,1.0,1.0,,,,,
442,012985,040,,,,,,,
443,012987,010,-1.0,-1.0,,,,,
444,012987,020,-1.0,-1.0,,,,,
445,013054,010,-1.0,-1.0,,,,,
446,013054,040,-1.0,-1.0,,,,,
447,013062,010,-1.0,-1.0,,,,,
448,013062,020,-1.0,-1.0,,,,,
449,013063,010,1.0,1.0,,,,,
450,013089,010,-1.0,-1.0,,,,,
451,013089,020,-1.0,-1.0,,,,,
452,013137,020,1.0,1.0,,,,,
453,013140,010,-1.0,-1.0,,,,,
454,013140,040,-1.0,-1.0,,,,,
455,013142,010,-1.0,-1.0,,,,,
456,013142,020,-1.0,-1.0,,,,,
457,013158,010,-1.0,-1.0,,,,,
458,013176,010,-1.0,-1.0,,,,,
459,013176,020,-1.0,-1.0,,,,,
460,013189,020,-1.0,-1.0,,,,,
461,013189,030,-1.0,-1.0,,,,,
462,013194,010,-1.0,-1.0,,,,,
463,013208,010,-1.0,-1.0,,,,,
464,013208,040,-1.0,-1.0,,,,,
465,013211,010,1.0,1.0,,,,,
466,013211,020,-1.0,-1.0,,,,,
467,013216,010,-1.0,-1.0,,,,,
468,013231,010,-1.0,-1.0,,,,,
469,013231,020,-1.0,-1.0,,,,,
470,013238,010,-1.0,-1.0,,,,,
471,013238,040,-1.0,-1.0,,,,,
472,013241,010,-1.0,-1.0,,,,,
473,013241,040,-1.0,-1.0,,,,,
474,013242,010,-1.0,-1.0,,,,,
475,013257,010,-1.0,-1.0,,,,,
476,013286,010,-1.0,-1.0,,,,,
477,013286,020,-1.0,-1.0,,,,,
478,013296,010,-1.0,-1.0,,,,,
479,013305,020,1.0,1.0,,,,,
480,013305,030,-1.0,-1.0,,,,,
481,013317,010,-1.0,-1.0,,,,,
482,013317,040,-1.0,-1.0,,,,,
483,013318,010,-1.0,-1.0,,,,,
484,013318,020,-1.0,-1.0,,,,,
485,013336,010,-1.0,-1.0,,,,,
486,013336,020,-1.0,-1.0,,,,,
487,013344,010,-1.0,-1.0,,,,,
488,013344,040,-1.0,-1.0,,,,,
489,013371,010,-1.0,-1.0,,,,,
490,013376,010,-1.0,-1.0,,,,,
491,013376,020,-1.0,-1.0,,,,,
492,013392,020,-1.0,-1.0,,,,,
493,013392,030,1.0,1.0,,,,,
494,013399,010,-1.0,-1.0,,,,,
495,013399,040,-1.0,-1.0,,,,,
496,013418,020,-1.0,-1.0,,,,,
497,013426,010,-1.0,-1.0,,,,,
498,013433,020,-1.0,-1.0,,,,,
499,013433,030,-1.0,-1.0,,,,,
500,013465,010,-1.0,-1.0,,,,,
501,013465,040,-1.0,-1.0,,,,,
502,013518,040,-1.0,-1.0,,,,,
503,013527,020,-1.0,-1.0,,,,,
504,013535,010,-1.0,-1.0,,,,,
505,013535,020,-1.0,-1.0,,,,,
506,013547,010,,,,,,,
507,013547,020,-1.0,-1.0,,,,,
508,013552,020,1.0,1.0,,,,,
509,013552,030,-1.0,-1.0,,,,,
510,013560,010,-1.0,-1.0,,,,,
511,013561,010,-1.0,-1.0,,,,,
512,013561,020,-1.0,-1.0,,,,,
513,013573,010,1.0,1.0,,,,,
